,concept_diversity
0,13.824739634314254
1,15.323764342878338
2,15.959003351211136
3,16.579313322243767
4,17.2091582083753
5,17.784516855301288
6,15.711006920977182
7,18.016165524163785
8,13.418699988373294
9,12.555262469466069
10,15.808209269337484
11,13.89612223924762
12,16.04879969359115
13,16.323719371091983
14,17.664938146661882
15,16.607458030625903
16,16.06905745797337
17,12.086013420439924
18,16.373074943029042
19,16.05356697988345
20,17.430032635485215
21,15.963788055854057
22,15.446488211776302
23,16.438107843033425
24,15.81270962564044
25,15.496001210019184
26,15.779598454138796
27,17.127395936407545
28,15.792119437721862
29,16.153671712901673
30,16.89436709378323
31,16.535237787666016
32,15.447074715333429
33,16.84873479297554
34,16.161124553858265
35,16.305965054436612
36,17.289703861585714
37,16.303291934903243
38,14.497251458128224
39,18.180615330192307
40,15.006886833992851
41,16.15775016182454
42,16.140629181234203
43,16.478810345317925
44,13.65328130379816
45,17.216956037040465
46,14.70273786549785
47,16.84680902043943
48,17.145579658939386
49,15.902743163223604
50,16.406093252545848
51,17.338783633078187
52,14.588529071138646
53,15.302401205941647
54,15.590414957067964
55,16.057559127495654
56,15.510109520451952
57,17.00178984698998
58,15.789425675960418
59,16.157323121819807
60,17.007301582959787
61,14.089003699866533
62,15.554332435557148
63,15.899210594815132
64,16.118857564875498
65,17.07403320799987
66,17.17178028012225
67,17.793244753848732
68,16.424731832517082
69,16.809419543972147
70,16.271906096493378
71,18.311860126114944
72,16.31319492372128
73,17.21425391487084
74,15.236817946857268
75,13.296940367744584
76,17.47211135241299
77,18.744351542539576
78,15.660804854342873
79,16.896377201884476
80,15.43950567971827
81,15.80987043955925
82,13.720012116646664
83,16.486180906481323
84,14.66723795370689
85,16.24240420573062
86,16.9442459789117
87,14.651203062628325
88,13.612899611882478
89,16.005869580966486
90,16.21692945619407
91,14.48061000861206
92,15.608062833974484
93,14.865054407942836
94,18.304159633065822
95,16.30814803360253
96,15.36858083993696
97,14.94746190895717
98,16.017393485669043
99,16.902841033265535
100,15.13266955576528
101,16.448152133902695
102,14.494937643161576
103,16.491170539115227
104,16.157560865227182
105,18.081967651276223
106,13.983825007071143
107,15.891554206567564
108,16.201831886870295
109,14.581635502986703
110,16.065845316981832
111,16.483250010626254
112,15.748584755964766
113,17.061405882380477
114,14.894031252416458
115,15.600969470834986
116,16.427939424132376
117,16.719410504857414
118,15.29171400503229
119,17.74946667316175
120,16.08039994154106
121,16.35794350271012
122,16.01059661771947
123,16.140957055089228
124,13.906707291645176
125,15.71197247984711
126,16.0116566271477
127,17.53391581028841
128,16.741529388116625
129,15.587421240287464
130,16.626113873070715
131,16.959252391613635
132,17.065690697324552
133,13.673158826360922
134,14.49320497290289
135,16.74861105828133
136,15.840860417891582
137,15.658373645166192
138,16.024167162479465
139,16.22064075945259
140,13.733946364188744
141,15.09096390940712
142,14.123763248109762
143,16.37022220385835
144,15.976387595213293
145,16.192232486211875
146,16.959332711844223
147,17.360743270594128
148,16.254343114817313
149,17.09775580497332
150,15.50610503822207
151,14.755523389704614
152,16.133999262586833
153,15.62456384831459
154,17.980754095011914
155,16.00233896909145
156,16.71311307691327
157,17.22594043783691
158,16.86263931526768
159,16.613045548843974
160,14.149008309522031
161,13.790480458439514
162,15.76466276405974
163,15.483013975614966
164,14.405273412068356
165,15.987791635427303
166,16.606141497350627
167,15.460800430865437
168,16.474227347418974
169,15.749290314279705
170,14.020968734142928
171,16.72524556814522
172,17.10175432294347
173,13.798205141699473
174,15.603547306928675
175,17.895537564496294
176,14.348198436710096
177,16.386136293186706
178,15.306057826421291
179,17.376241719041072
180,16.63510961308915
181,13.71084069877246
182,15.628939942404784
183,14.2194890113598
184,14.583419597694958
185,15.077655201514014
186,16.5546587033163
187,14.937413195956529
188,16.631822526179285
189,14.544886645979934
190,13.919524749806213
191,14.248984141629863
192,16.69704507762346
193,16.300047411997202
194,15.12291487156122
195,15.99896072997178
196,14.3616473935235
197,16.198062919102057
198,15.19734591801729
199,16.63321962017736
200,14.959992259275555
201,15.797732384634504
202,15.780871475757811
203,17.98151629035902
204,15.302666795519974
205,15.714436514118594
206,14.019557745447802
207,16.868676075923265
208,14.086736271609908
209,16.367913484027913
210,18.23404493195693
211,16.17389343085234
212,16.98982147618118
213,13.007080416769742
214,16.028018156479153
215,16.73201290048957
216,15.90791632384806
217,15.01421993830542
218,18.249606727919478
219,16.922744443539376
220,14.21538784361119
221,14.067873410923635
222,16.0930373861827
223,16.36068769574671
224,16.08624412763548
225,15.024930703997205
226,14.388282705779138
227,15.372520084201142
228,15.233311322937343
229,13.426247417186593
230,17.660815283917064
231,17.56665732514083
232,13.057400403458042
233,15.281820510817324
234,15.331380366255958
235,18.164434435412225
236,14.744337182539692
237,16.674800101275526
238,16.036430645342154
239,15.430244269020807
240,15.662996314610226
241,14.244353173175096
242,16.650850534328814
243,13.332153515011214
244,17.382217698374372
245,16.90126907700985
246,16.345277692627818
247,14.865830209296554
248,17.739365703744827
249,16.19129823933015
250,17.349060946441263
251,16.86753024433236
252,15.334016449244697
253,13.991940072430888
254,16.432047151245758
255,14.44836531799582
256,13.80009270957036
257,15.463164001826852
258,16.23537050669684
259,15.023876755738426
260,16.107350770045414
261,16.85951841614311
262,17.002872347585207
263,15.78502538503326
264,16.54106207405398
265,16.427490561214334
266,17.4678664508865
267,16.994455075024426
268,15.932742133853113
269,14.6211974944324
270,17.05289918176585
271,12.73629156661822
272,16.206318001788656
273,15.90551403872285
274,16.389799875566386
275,16.17947633864742
276,18.021613414784955
277,13.962028904288337
278,18.188920766662918
279,15.675069260135816
280,17.276804704544332
281,12.804457481588049
282,17.808994428390935
283,14.417661680818446
284,14.23466368918636
285,15.435649864741476
286,15.29230467104583
287,14.8616517352315
288,16.68560174040157
289,15.272394938514855
290,16.54830634970036
291,16.29070203257664
292,16.384866586395788
293,17.002796356818422
294,15.85289777902282
295,16.343964557820463
296,15.505775792711685
297,15.634287626908582
298,17.219213160420896
299,16.546330455562536
300,16.76917401732537
301,17.093127290727452
302,17.90024095223291
303,17.252100971881255
304,15.845454006209422
305,15.865221123908176
306,15.637296262474807
307,16.49865800637176
308,16.51148906447216
309,15.616941140676367
310,16.064610697210384
311,15.753021026813842
312,16.675832522211522
313,15.090647047787767
314,16.54581066198425
315,14.310485345536584
316,16.781880801814047
317,16.40403521227025
318,13.531797526352028
319,15.924286989355576
320,16.01565685226709
321,14.451488853470078
322,16.71852697715089
323,13.724212857541426
324,16.761696113879673
325,15.47303559478683
326,16.791046446546762
327,14.580292241455652
328,12.736335495308593
329,15.493906258971062
330,15.780421385695576
331,15.523050947957213
332,18.016330855268425
333,16.58294132167153
334,15.642359733421443
335,15.50800550899013
336,18.229688152875795
337,18.060758337938523
338,16.416636932196646
339,16.940448248547796
340,16.2107657318638
341,17.038162930773208
342,15.26018953299775
343,13.1556732194176
344,17.977220677497915
345,14.33727141550171
346,16.064587255976434
347,16.439638528314497
348,14.00213190042828
349,16.06067922532687
350,17.920554884710633
351,16.586650543938777
352,14.615732086890567
353,14.605352920300984
354,17.541469309530353
355,15.344544284151333
356,18.151646058205014
357,15.307276133471625
358,17.92588432566178
359,14.153805889412109
360,14.053707452616818
361,16.153303830179453
362,17.414718390144486
363,16.437998774016172
364,15.476471905306209
365,15.709175692890332
366,15.73368450126254
367,15.713944723519344
368,18.269342376301694
369,15.093275913958616
370,16.251426082675817
371,16.850172454016494
372,16.089474301510315
373,17.03822597154482
374,16.508502988487336
375,16.41215702096807
376,13.851434388826556
377,17.695582604246166
378,16.2508118870632
379,13.86209082942619
380,14.59214344180496
381,13.072741804327242
382,15.718409641342598
383,15.134689785095542
384,14.576850079055705
385,13.759485084165272
386,16.69178719906418
387,15.16130808943414
388,13.97850881578603
389,17.541309506429986
390,15.646259733134332
391,11.029982040521997
392,14.811367455017171
393,15.434092687072416
394,17.7349309237661
395,14.748952328514896
396,16.240981258102526
397,17.231567986077383
398,15.728790148992918
399,16.453742792443528
400,14.637546031603964
401,15.255079030076184
402,15.85918287811912
403,17.670856980267928
