,concept_diversity_across_time
0,1.2894356881916007
1,-1.0033921481266415
2,15.073835178962007
3,0.1803435006756242
4,1.3553068591646529
5,-2.9005196544477556
6,0.0
7,-2.6877203807526975
8,0.0
9,5.8440403048730225
10,0.0
11,2.0679057265979637
12,-7.428270158045264
13,0.4629829541469146
14,-0.9646379315426064
15,-1.4580143657276956
16,2.0978193886973333
17,0.0
18,2.7013269927315378
19,1.1519093520679942
20,0.0
21,1.5621260180996082
22,0.3839817666519014
23,3.8071777797699493
24,-0.5371964514026182
25,0.19467549565105813
26,2.274119462361515
27,0.17216346127558424
28,3.6262083818825257
29,-1.806598769953771
30,-0.1384227713385684
31,-0.21697487201022625
32,0.0005997424451020805
33,-0.19880399469042587
34,8.999082389244974
35,1.360308939915031
36,0.5796859750846473
37,0.4424536534901513
38,0.0
39,-0.6037243599126718
40,0.0
41,1.7658712272571542
42,-3.831894362242494
43,-1.8184897907381377
44,-0.3617609890689035
45,-0.7967381429773042
46,-0.38501836515843735
47,1.9018504459877459
48,-0.9361306619096794
49,0.0
50,-1.9677831819867553
51,-1.2196735962609644
52,-1.2291332787250813
53,-0.519937857373181
54,0.2930843721269287
55,-1.6330665768405996
56,-2.1819588058182937
57,0.13242597391919375
58,4.380591724760668
59,-3.421318139364516
60,-0.3843788333547433
61,-2.8702862366161153
62,-2.0762709015297958
63,12.536692563391453
64,0.04668968165793608
65,-2.0547941196735877
66,-0.0060934807430257365
67,3.804614799311283
68,2.05574548507877
69,-0.5649619074800292
70,0.17864739892346648
71,0.1270382506959713
72,-0.7310154838480294
73,-1.346361976437855
74,-0.2013833025671019
75,0.2361402380498756
76,0.9194539518271689
77,0.0
78,1.1702898560443789
79,0.9739906447808231
80,3.834818258420709
81,0.33126353928226493
82,1.0649410105852422
83,-0.45815654126995753
84,-4.46267819781303
85,5.189359795332797
86,-0.3495602321961506
87,-1.7407353678328423
88,-5.459713916726082
89,0.10986774727943249
90,-0.5348578394420933
91,0.29349340830203907
92,0.0
93,-0.5100264476279435
94,0.18363108404335549
95,-0.20037153878912406
96,-5.839781082054634
97,0.0
98,4.0264246036484455
99,-0.38831237327599055
100,0.0
101,0.327108047321893
102,0.0
103,-3.3142997707779074
104,-0.5976689955903645
105,0.0
106,-1.8373755370602662
107,2.4094580851838394
108,-3.7554400594685813
109,-1.0829181263152137
110,-1.3487300098333481
111,0.0
112,3.4475160860991654
113,-2.748672444647829
114,0.0
115,-2.863337759686809
116,-0.7328548420942713
117,0.5835659921031464
118,0.0
119,0.18068053789631122
120,0.13953955169024823
121,-2.4745988489510786
122,-2.3818221158726587
123,-0.7447596163222308
124,3.7602980994431565
125,-2.8960665155065755
126,0.6924289873739085
127,0.8834167707591156
128,0.0
129,0.18252435476812678
130,0.0
131,-1.112477477583596
132,-3.147176515688834
133,0.0
134,1.3965066000104773
135,-1.7449071754163779
136,-0.027706321143417867
137,-2.8047077699480383
138,5.820061646895601
139,-0.5206043097422253
140,0.31384594759850515
141,0.5748867393478836
142,-0.1290497308573748
143,-1.1379729184553504
144,1.4993760799032305
145,0.0
146,-0.8709382830478525
147,-1.1630025168576488
148,-5.102266146664023
149,0.4575175328755563
150,0.5055753896455535
151,0.0
152,-1.043087152967889
153,-2.5556536455747025
154,0.1377570279096112
155,2.9952032095371806
156,0.0
157,0.6629825242588403
158,-1.3987854255481018
159,0.9527163160187904
160,0.0
161,-5.814799974164982
162,0.560905354393789
163,1.5723287921201123
164,-1.1092250257167944
165,-0.37929929588872824
166,1.5859870105516585
167,3.03174274741572
168,0.0
169,-2.9166687171419454
170,4.349154317288846
171,1.4091858862967452
172,1.9515837059708758
173,0.0
174,-0.946132439579495
175,3.887791229822266
176,1.6440111666227075
177,-0.5127985933051846
178,-0.396625294830697
179,2.801723476684229
180,-0.4219175092332783
181,0.0
182,0.23337909874776308
183,1.254825110909227
184,-0.3682967275771407
185,-0.563601923502894
186,-1.9308532988370537
187,-1.5394768964015153
188,0.11699738098426948
189,1.8919094219743133
190,0.8630896059749968
191,0.11926022694690808
192,-0.14448464000557948
193,0.0
194,4.897735851092724
195,0.0
196,0.0
197,2.346693952661454
198,-0.8082199358595936
199,-0.10257391622107193
200,-1.8497278050128259
201,0.0
202,-0.4047698052043689
203,1.0147255834290512
204,1.9458839060365385
205,-3.830826533974893
206,0.0
207,0.0
208,-0.21242773530013004
209,-3.268587025017032
210,0.08184339826329534
211,-1.7680885169594358
212,-1.4252725477874968
213,1.508013182095782
214,-0.10169184501025796
215,0.319885881430622
216,0.319866063583774
217,-1.7000255706752174
218,0.14648165600537766
219,0.42722225804748604
220,-0.529854623741608
221,0.704183392690366
222,-0.7079658154698976
223,-1.6548321064460971
224,0.3048138042439277
225,-0.39085772988159384
226,0.0
227,3.8266634559128416
228,4.351383875903002
229,0.0
230,0.0
231,-0.43579302895885164
232,7.910953039891703
233,-2.219530501104039
234,4.042535668483431
235,-0.5994686773204876
236,-0.09407486269918408
237,-8.272113566506828
238,-0.8028177883360499
239,-0.012460499532240377
240,-8.68135353395391
241,0.0
242,1.1346754838425657
243,0.0
244,0.4790902514593576
245,0.0
246,0.0
247,-15.630135527530435
248,-3.514999889230511
249,4.096499744268371
250,-3.6611304627063355
251,0.8937277258611545
252,-4.978459998280178
253,-1.7727529755624492
254,4.615315611524162
255,-2.733056648932193
256,-0.5387479623379132
257,-0.18323366212592518
258,-2.296496647188313
259,0.46368900613259356
260,-1.318445556643372
261,1.7926631740419126
262,0.0
263,0.0
264,1.3395172404824542
265,0.0
266,0.0
267,-0.6175761265155124
268,0.0
269,-1.691937502852566
270,1.6793511980505382
271,0.9277145320804845
272,1.1887989047300955
273,0.5670416006181682
274,-1.591716163630565
275,-1.4300910890445593
276,2.465711138279147
277,-0.5053370623260705
278,-0.7442528042110865
279,0.0
280,0.3140684464434571
281,-11.72517927875831
282,-1.1976295486972042
283,-3.170213354636811
284,0.762499371065763
285,-0.64069998430341
286,-0.14887172198541876
287,-1.1476489834738608
288,1.335259398492635
289,1.687328846273079
290,2.1288721614143817
291,-0.40212636050898354
292,-1.7992864119458218
293,0.0133458008452223
294,-0.213783131801339
295,-0.5572037521414863
296,1.2238151290277752
297,-0.43155002448644453
298,0.0
299,-0.22682005499516578
300,-2.222181803685766
301,2.464931944221039
302,0.6436177662790143
303,3.7311272906455013
304,-1.69209105995259
305,-0.1060148017307263
306,0.29471274907243483
307,0.03021562743197137
308,0.0
309,1.1611548695288665
310,1.011469272675651
311,0.10459600058733187
312,-2.5086488356121457
313,-0.7099349533964574
314,1.96472847778357
315,-0.1653662127583626
